#Pose	CONSRANK_U	CONSRANK	contact_log_sum	contact_square_sum	residue_sum	residue_average	residue_log_sum	residue_square_sum	residue_average_ligand	residue_average_receptor	residue_sum_ligand	residue_sum_receptor
59	3.3200000000000007	0.09764705882352943	-81.95546293388065	0.38694999999999996	13.04	0.44965517241379305	-24.446079005446787	6.2788499999999985	0.4596666666666668	0.4389285714285715	6.895000000000001	6.145000000000001
60	0.6900000000000003	0.02090909090909092	-138.06085108827344	0.027499999999999997	8.255	0.37522727272727274	-22.918670578355147	3.4932250000000002	0.335	0.40875	3.35	4.905
61	1.9299999999999995	0.050789473684210516	-122.86480230568183	0.15555	11.259999999999998	0.37533333333333324	-32.08118434123202	4.893799999999999	0.326875	0.4307142857142857	5.23	6.03
62	0.9000000000000002	0.017647058823529415	-215.53417634341199	0.02659999999999999	9.015	0.28171875	-50.89674961811169	3.446125000000001	0.3833333333333333	0.15107142857142858	6.8999999999999995	2.115
63	0.9700000000000003	0.024250000000000008	-158.8068183786269	0.040499999999999994	7.520000000000001	0.2685714285714286	-41.627806068257804	2.7529	0.1567857142857143	0.3803571428571429	2.1950000000000003	5.325
64	2.0199999999999996	0.06312499999999999	-101.5350627549752	0.21025	9.915	0.38134615384615383	-29.07324355927768	4.573724999999999	0.46653846153846157	0.29615384615384616	6.065	3.85
65	0.8750000000000006	0.0230263157894737	-147.15363702214825	0.023425	7.599999999999998	0.23030303030303023	-53.76022269274451	2.2253499999999993	0.27156249999999993	0.19147058823529411	4.344999999999999	3.255
66	3.725	0.11640625	-71.52178925203798	0.48867499999999997	10.01	0.43521739130434783	-21.688176231717524	4.8986	0.4765384615384616	0.38150000000000006	6.195	3.8150000000000004
67	0.45500000000000007	0.015166666666666669	-129.53610630709323	0.008875000000000001	5.154999999999999	0.20619999999999997	-44.96345081810939	1.447575	0.20307692307692304	0.20958333333333332	2.6399999999999997	2.5149999999999997
68	4.3100000000000005	0.10775000000000001	-91.0455366612115	0.5087	12.080000000000004	0.38967741935483885	-32.20834573206579	5.415249999999999	0.44441176470588245	0.3232142857142857	7.5550000000000015	4.5249999999999995
69	2.3149999999999995	0.05383720930232557	-136.3423674595138	0.185075	12.905000000000001	0.4162903225806452	-29.031750300761768	5.9332249999999975	0.45333333333333337	0.3815625	6.800000000000001	6.105
70	1.06	0.036551724137931035	-108.90673456973286	0.06980000000000001	8.725	0.41547619047619044	-19.61665948276073	3.978525	0.43500000000000005	0.4008333333333334	3.9150000000000005	4.8100000000000005
71	0.7750000000000004	0.035227272727272746	-76.13999582157007	0.035425000000000005	6.24	0.32842105263157895	-24.718889273892998	2.7114	0.17	0.471	1.53	4.71
72	1.1050000000000004	0.04092592592592594	-90.16214624397952	0.057325	7.4750000000000005	0.29900000000000004	-34.51237524602903	2.961875	0.1708333333333333	0.4173076923076924	2.05	5.425000000000001
73	0.8500000000000004	0.03541666666666669	-82.8166393795888	0.03845	6.480000000000001	0.34105263157894744	-24.13110260899088	2.9130000000000003	0.17	0.495	1.53	4.95
74	1.6150000000000002	0.05383333333333334	-90.870530979958	0.10722500000000003	8.25	0.358695652173913	-26.58871043816659	3.6735	0.31576923076923075	0.41450000000000004	4.1049999999999995	4.1450000000000005
75	4.279999999999999	0.09953488372093022	-103.80565069460015	0.50105	12.995	0.39378787878787874	-33.66618724447772	5.844175	0.44470588235294123	0.3396875	7.5600000000000005	5.435
76	0.4600000000000002	0.0117948717948718	-177.87328779206533	0.006650000000000003	3.9400000000000004	0.13586206896551725	-65.15621771993484	0.7104	0.06966666666666667	0.20678571428571432	1.045	2.8950000000000005
77	0.48500000000000015	0.012125000000000004	-183.61789226124182	0.008175	6.43	0.20741935483870966	-51.731797574282375	1.6538499999999996	0.21233333333333332	0.20281250000000006	3.1849999999999996	3.245000000000001
78	1.62	0.04764705882352942	-105.90033130921917	0.0879	8.38	0.3491666666666667	-28.13509021463355	3.6277999999999997	0.3079166666666666	0.39041666666666663	3.6949999999999994	4.685
